abjecções;abjeções
contra-indicar-lhes;contraindicar-lhes
contra-indicar-lho;contraindicar-lho
contra-indicar-lhos;contraindicar-lhos
contra-indicar-me;contraindicar-me
contra-indicar-me-ei;contraindicar-me-ei
contra-indicar-me-ia;contraindicar-me-ia
contra-indicarmos;contraindicarmos
contra-indicar-nos-íamos;contraindicar-nos-íamos
contra-indicar-nos;contraindicar-nos
contra-indicar-nos-emos;contraindicar-nos-emos
contra-indicarão;contraindicarão
contra-indicarás;contraindicarás
contra-indicar-se-á;contraindicar-se-á
contra-indicar-se;contraindicar-se
contra-indicar-se-ia;contraindicar-se-ia
contra-indicar-se-iam;contraindicar-se-iam
contra-indicar-se-ão;contraindicar-se-ão
contra-indicar-te-á;contraindicar-te-á
contra-indicar-te;contraindicar-te
contra-indicar-te-ei;contraindicar-te-ei
contra-indicar-te-ias;contraindicar-te-ias
contra-indicar-te-ás;contraindicar-te-ás
contra-indicar-vos;contraindicar-vos
contra-indicar-vos-íeis;contraindicar-vos-íeis
contra-indicar-vos-eis;contraindicar-vos-eis
contra-indicas;contraindicas
contra-indicasse;contraindicasse
contra-indicassem;contraindicassem
contra-indicasses;contraindicasses
contra-indicaste;contraindicaste
contra-indicastes;contraindicastes
contra-indicava;contraindicava
contra-indicavam;contraindicavam
contra-indicavas;contraindicavas
contra-indicá-la;contraindicá-la
contra-indicá-las;contraindicá-las
contra-indicá-lo-íamos;contraindicá-lo-íamos
contra-indicá-lo-á;contraindicá-lo-á
contra-indicá-lo;contraindicá-lo
contra-indicá-lo-ei;contraindicá-lo-ei
contra-indicá-lo-íeis;contraindicá-lo-íeis
contra-indicá-lo-eis;contraindicá-lo-eis
contra-indicá-lo-emos;contraindicá-lo-emos
contra-indicá-lo-ia;contraindicá-lo-ia
contra-indicá-lo-iam;contraindicá-lo-iam
contra-indicá-lo-ias;contraindicá-lo-ias
contra-indicá-lo-ão;contraindicá-lo-ão
contra-indicá-lo-ás;contraindicá-lo-ás
contra-indicá-los;contraindicá-los
contra-indicámos;contraindicámos
contra-indico;contraindico
contra-indicou;contraindicou
contra-indicáramos;contraindicáramos
contra-indicáreis;contraindicáreis
contra-indicásseis;contraindicásseis
contra-indicássemos;contraindicássemos
contra-indicávamos;contraindicávamos
contra-indicáveis;contraindicáveis
contra-indique;contraindique
contra-indiquei;contraindiquei
contra-indiqueis;contraindiqueis
contra-indiquem;contraindiquem
contra-indiquemos;contraindiquemos
contra-indiques;contraindiques
contra-ofensiva;contraofensiva
contra-ofensivas;contraofensivas
contra-ordem;contraordem
contra-ordena;contraordena
contra-ordenada;contraordenada
contra-ordenadas;contraordenadas
contra-ordenado;contraordenado
contra-ordenados;contraordenados
contra-ordenações;contraordenações
contra-ordenai;contraordenai
contra-ordenais;contraordenais
contra-ordenam;contraordenam
contra-ordenamos;contraordenamos
contra-ordenando;contraordenando
contra-ordenação;contraordenação
contra-ordenara;contraordenara
contra-ordenaram;contraordenaram
contra-ordenaríamos;contraordenaríamos
contra-ordenaras;contraordenaras
contra-ordenará;contraordenará
contra-ordenar;contraordenar
contra-ordenardes;contraordenardes
contra-ordenarei;contraordenarei
contra-ordenaríeis;contraordenaríeis
contra-ordenareis;contraordenareis
contra-ordenarem;contraordenarem
contra-ordenaremos;contraordenaremos
contra-ordenares;contraordenares
contra-ordenaria;contraordenaria
contra-ordenariam;contraordenariam
contra-ordenarias;contraordenarias
contra-ordenar-lha;contraordenar-lha
contra-ordenar-lhas;contraordenar-lhas
contra-ordenar-lhe;contraordenar-lhe
contra-ordenar-lhes;contraordenar-lhes
contra-ordenar-lho;contraordenar-lho
contra-ordenar-lhos;contraordenar-lhos
contra-ordenar-me;contraordenar-me
contra-ordenar-me-ei;contraordenar-me-ei
contra-ordenar-me-ia;contraordenar-me-ia
contra-ordenarmos;contraordenarmos
contra-ordenar-nos-íamos;contraordenar-nos-íamos
contra-ordenar-nos;contraordenar-nos
contra-ordenar-nos-emos;contraordenar-nos-emos
contra-ordenarão;contraordenarão
contra-ordenarás;contraordenarás
contra-ordenar-se-á;contraordenar-se-á
contra-ordenar-se;contraordenar-se
contra-ordenar-se-ia;contraordenar-se-ia
contra-ordenar-se-iam;contraordenar-se-iam
contra-ordenar-se-ão;contraordenar-se-ão
contra-ordenar-te-á;contraordenar-te-á
contra-ordenar-te;contraordenar-te
contra-ordenar-te-ei;contraordenar-te-ei
contra-ordenar-te-ias;contraordenar-te-ias
contra-ordenar-te-ás;contraordenar-te-ás
contra-ordenar-vos;contraordenar-vos
contra-ordenar-vos-íeis;contraordenar-vos-íeis
contra-ordenar-vos-eis;contraordenar-vos-eis
contra-ordenas;contraordenas
contra-ordenasse;contraordenasse
contra-ordenassem;contraordenassem
contra-ordenasses;contraordenasses
contra-ordenaste;contraordenaste
contra-ordenastes;contraordenastes
contra-ordenava;contraordenava
contra-ordenavam;contraordenavam
contra-ordenavas;contraordenavas
contra-ordene;contraordene
contra-ordenei;contraordenei
contra-ordeneis;contraordeneis
contra-ordenem;contraordenem
contra-ordenemos;contraordenemos
contra-ordenes;contraordenes
contra-ordená-la;contraordená-la
contra-ordená-las;contraordená-las
contra-ordená-lo-íamos;contraordená-lo-íamos
contra-ordená-lo-á;contraordená-lo-á
contra-ordená-lo;contraordená-lo
contra-ordená-lo-ei;contraordená-lo-ei
contra-ordená-lo-íeis;contraordená-lo-íeis
contra-ordená-lo-eis;contraordená-lo-eis
contra-ordená-lo-emos;contraordená-lo-emos
contra-ordená-lo-ia;contraordená-lo-ia
contra-ordená-lo-iam;contraordená-lo-iam
contra-ordená-lo-ias;contraordená-lo-ias
contra-ordená-lo-ão;contraordená-lo-ão
contra-ordená-lo-ás;contraordená-lo-ás
contra-ordená-los;contraordená-los
contra-ordenámos;contraordenámos
contra-ordeno;contraordeno
contra-ordenou;contraordenou
contra-ordenáramos;contraordenáramos
contra-ordenáreis;contraordenáreis
contra-ordenásseis;contraordenásseis
contra-ordenássemos;contraordenássemos
contra-ordenávamos;contraordenávamos
contra-ordenáveis;contraordenáveis
contraprojecto;contraprojeto
contra-regra;contrarregra
contra-relógio;contrarrelógio
contra-relógios;contrarrelógios
contra-revolta;contrarrevolta
contra-revolucionário;contrarrevolucionário
contra-revoluções;contrarrevoluções
contra-revolução;contrarrevolução
contra-senha;contrassenha
contra-senso;contrassenso
convector;convetor
co-ocupante;coocupante
co-ocupantes;coocupantes
co-opositor;coopositor
co-parceiro;coparceiro
co-participa;coparticipa
co-participada;coparticipada
co-participadas;coparticipadas
co-participado;coparticipado
co-participados;coparticipados
co-participai;coparticipai
co-participais;coparticipais
co-participam;coparticipam
co-participamos;coparticipamos
co-participando;coparticipando
co-participante;coparticipante
co-participantes;coparticipantes
co-participara;coparticipara
co-participaram;coparticiparam
co-participaríamos;coparticiparíamos
co-participaras;coparticiparas
co-participará;coparticipará
co-participar;coparticipar
co-participardes;coparticipardes
co-participarei;coparticiparei
co-participaríeis;coparticiparíeis
co-participareis;coparticipareis
co-participarem;coparticiparem
co-participaremos;coparticiparemos
co-participares;coparticipares
co-participaria;coparticiparia
co-participariam;coparticipariam
co-participarias;coparticiparias
co-participar-lha;coparticipar-lha
co-participar-lhas;coparticipar-lhas
co-participar-lhe;coparticipar-lhe
co-participar-lhes;coparticipar-lhes
co-participar-lho;coparticipar-lho
co-participar-lhos;coparticipar-lhos
co-participar-me;coparticipar-me
co-participar-me-ei;coparticipar-me-ei
co-participar-me-ia;coparticipar-me-ia
co-participarmos;coparticiparmos
co-participar-nos-íamos;coparticipar-nos-íamos
co-participar-nos;coparticipar-nos
co-participar-nos-emos;coparticipar-nos-emos
co-participarão;coparticiparão
co-participarás;coparticiparás
co-participar-se-á;coparticipar-se-á
co-participar-se;coparticipar-se
co-participar-se-ia;coparticipar-se-ia
co-participar-se-iam;coparticipar-se-iam
co-participar-se-ão;coparticipar-se-ão
co-participar-te-á;coparticipar-te-á
co-participar-te;coparticipar-te
co-participar-te-ei;coparticipar-te-ei
co-participar-te-ias;coparticipar-te-ias
co-participar-te-ás;coparticipar-te-ás
co-participar-vos;coparticipar-vos
co-participar-vos-íeis;coparticipar-vos-íeis
co-participar-vos-eis;coparticipar-vos-eis
co-participas;coparticipas
co-participasse;coparticipasse
co-participassem;coparticipassem
co-participasses;coparticipasses
co-participaste;coparticipaste
co-participastes;coparticipastes
co-participava;coparticipava
co-participavam;coparticipavam
co-participavas;coparticipavas
co-participe;coparticipe
co-participei;coparticipei
co-participeis;coparticipeis
co-participem;coparticipem
co-participemos;coparticipemos
co-participes;coparticipes
co-participá-la;coparticipá-la
co-participá-las;coparticipá-las
co-participá-lo-íamos;coparticipá-lo-íamos
co-participá-lo-á;coparticipá-lo-á
co-participá-lo;coparticipá-lo
co-participá-lo-ei;coparticipá-lo-ei
co-participá-lo-íeis;coparticipá-lo-íeis
co-participá-lo-eis;coparticipá-lo-eis
co-participá-lo-emos;coparticipá-lo-emos
co-participá-lo-ia;coparticipá-lo-ia
co-participá-lo-iam;coparticipá-lo-iam
co-participá-lo-ias;coparticipá-lo-ias
co-participá-lo-ão;coparticipá-lo-ão
co-participá-lo-ás;coparticipá-lo-ás
co-participá-los;coparticipá-los
co-participámos;coparticipámos
co-participo;coparticipo
co-participou;coparticipou
co-participáramos;coparticipáramos
co-participáreis;coparticipáreis
co-participásseis;coparticipásseis
co-participássemos;coparticipássemos
co-participávamos;coparticipávamos
co-participáveis;coparticipáveis
co-produções;coproduções
co-produção;coprodução
co-propriedade;copropriedade
co-propriedades;copropriedades
co-proprietário;coproprietário
coracóide;coracoide
coralóide;coraloide
co-redactor;corredator
co-redentor;corredentor
co-regente;corregente
co-regência;corregência
co-regências;corregências
co-responsabiliza;corresponsabiliza
co-responsabilizada;corresponsabilizada
co-responsabilizadas;corresponsabilizadas
co-responsabilizado;corresponsabilizado
co-responsabilizados;corresponsabilizados
co-responsabilizai;corresponsabilizai
co-responsabilizais;corresponsabilizais
co-responsabilizam;corresponsabilizam
co-responsabilizamos;corresponsabilizamos
co-responsabilizando;corresponsabilizando
co-responsabilizara;corresponsabilizara
co-responsabilizaram;corresponsabilizaram
co-responsabilizaríamos;corresponsabilizaríamos
co-responsabilizaras;corresponsabilizaras
co-responsabilizará;corresponsabilizará
co-responsabilizar;corresponsabilizar
co-responsabilizardes;corresponsabilizardes
co-responsabilizarei;corresponsabilizarei
co-responsabilizaríeis;corresponsabilizaríeis
co-responsabilizareis;corresponsabilizareis
co-responsabilizarem;corresponsabilizarem
co-responsabilizaremos;corresponsabilizaremos
co-responsabilizares;corresponsabilizares
co-responsabilizaria;corresponsabilizaria
co-responsabilizariam;corresponsabilizariam
co-responsabilizarias;corresponsabilizarias
co-responsabilizar-lha;corresponsabilizar-lha
co-responsabilizar-lhas;corresponsabilizar-lhas
co-responsabilizar-lhe;corresponsabilizar-lhe
co-responsabilizar-lhes;corresponsabilizar-lhes
co-responsabilizar-lho;corresponsabilizar-lho
co-responsabilizar-lhos;corresponsabilizar-lhos
co-responsabilizar-me;corresponsabilizar-me
co-responsabilizar-me-ei;corresponsabilizar-me-ei
co-responsabilizar-me-ia;corresponsabilizar-me-ia
co-responsabilizarmos;corresponsabilizarmos
co-responsabilizar-nos-íamos;corresponsabilizar-nos-íamos
co-responsabilizar-nos;corresponsabilizar-nos
co-responsabilizar-nos-emos;corresponsabilizar-nos-emos
co-responsabilizarão;corresponsabilizarão
co-responsabilizarás;corresponsabilizarás
co-responsabilizar-se-á;corresponsabilizar-se-á
co-responsabilizar-se;corresponsabilizar-se
co-responsabilizar-se-ia;corresponsabilizar-se-ia
co-responsabilizar-se-iam;corresponsabilizar-se-iam
co-responsabilizar-se-ão;corresponsabilizar-se-ão
co-responsabilizar-te-á;corresponsabilizar-te-á
co-responsabilizar-te;corresponsabilizar-te
co-responsabilizar-te-ei;corresponsabilizar-te-ei
co-responsabilizar-te-ias;corresponsabilizar-te-ias
co-responsabilizar-te-ás;corresponsabilizar-te-ás
co-responsabilizar-vos;corresponsabilizar-vos
co-responsabilizar-vos-íeis;corresponsabilizar-vos-íeis
co-responsabilizar-vos-eis;corresponsabilizar-vos-eis
co-responsabilizas;corresponsabilizas
co-responsabilizasse;corresponsabilizasse
co-responsabilizassem;corresponsabilizassem
co-responsabilizasses;corresponsabilizasses
co-responsabilizaste;corresponsabilizaste
co-responsabilizastes;corresponsabilizastes
co-responsabilizava;corresponsabilizava
co-responsabilizavam;corresponsabilizavam
co-responsabilizavas;corresponsabilizavas
co-responsabilize;corresponsabilize
co-responsabilizei;corresponsabilizei
co-responsabilizeis;corresponsabilizeis
co-responsabilizem;corresponsabilizem
co-responsabilizemos;corresponsabilizemos
co-responsabilizes;corresponsabilizes
co-responsabilizá-la;corresponsabilizá-la
co-responsabilizá-las;corresponsabilizá-las
co-responsabilizá-lo-íamos;corresponsabilizá-lo-íamos
co-responsabilizá-lo-á;corresponsabilizá-lo-á
co-responsabilizá-lo;corresponsabilizá-lo
co-responsabilizá-lo-ei;corresponsabilizá-lo-ei
co-responsabilizá-lo-íeis;corresponsabilizá-lo-íeis
co-responsabilizá-lo-eis;corresponsabilizá-lo-eis
co-responsabilizá-lo-emos;corresponsabilizá-lo-emos
co-responsabilizá-lo-ia;corresponsabilizá-lo-ia
co-responsabilizá-lo-iam;corresponsabilizá-lo-iam
co-responsabilizá-lo-ias;corresponsabilizá-lo-ias
co-responsabilizá-lo-ão;corresponsabilizá-lo-ão
co-responsabilizá-lo-ás;corresponsabilizá-lo-ás
co-responsabilizá-los;corresponsabilizá-los
co-responsabilizámos;corresponsabilizámos
co-responsabilizo;corresponsabilizo
co-responsabilizou;corresponsabilizou
co-responsabilizáramos;corresponsabilizáramos
co-responsabilizáreis;corresponsabilizáreis
co-responsabilizásseis;corresponsabilizásseis
co-responsabilizássemos;corresponsabilizássemos
co-responsabilizávamos;corresponsabilizávamos
co-responsabilizáveis;corresponsabilizáveis
co-responsável;corresponsável
correccional;correcional
correccionalmente;correcionalmente
correcções;correções
correcção;correção
correcta;correta
correctamente;corretamente
correctas;corretas
correctiva;corretiva
correctivas;corretivas
correctivo;corretivo
correctivos;corretivos
correcto;correto
correctora;corretora
correctoras;corretoras
corrector;corretor
correctores;corretores
correctoria;corretoria
correctos;corretos
correctório;corretório
correctriz;corretriz
correctíssima;corretíssima
correctíssimas;corretíssimas
correctíssimo;corretíssimo
correctíssimos;corretíssimos
co-réu;corréu
co-secante;cossecante
co-secantes;cossecantes
co-seno;cosseno
co-signatário;cossignatário
co-tangente;cotangente
cotilóide;cotiloide
céptica;cética
cépticas;céticas
céptico;cético
cépticos;céticos
cretinóide;cretinoide
cristalóide;cristaloide
cristalóides;cristaloides
cubóide;cuboide
dactilógrafa;dactilografia
dactilógrafas;dactilografia
dactilógrafo;dactilografia
dactilógrafos;dactilografia
dactilografada;datilografar
dactilografadas;datilografar
dactilografa;datilografar
dactilografado;datilografar
dactilografados;datilografar
dactilografai;datilografar
dactilografais;datilografar
dactilografam;datilografar
dactilografamos;datilografar
dactilografando;datilografar
dactilografara;datilografar
dactilografaram;datilografar
dactilografaríamos;datilografar
dactilografaras;datilografar
dactilografará;datilografar
dactilografar;datilografar
dactilografardes;datilografar
dactilografarei;datilografar
dactilografaríeis;datilografar
dactilografareis;datilografar
dactilografarem;datilografar
dactilografaremos;datilografar
dactilografares;datilografar
dactilografaria;datilografar
dactilografariam;datilografar
dactilografarias;datilografar
dactilografar-lha;datilografar
dactilografar-lhas;datilografar
dactilografar-lhe;datilografar
dactilografar-lhes;datilografar
dactilografar-lho;datilografar
dactilografar-lhos;datilografar
dactilografar-me;datilografar
dactilografar-me-ei;datilografar
dactilografar-me-ia;datilografar
dactilografarmos;datilografar
dactilografar-nos-íamos;datilografar
dactilografar-nos;datilografar
dactilografar-nos-emos;datilografar
dactilografarão;datilografar
dactilografarás;datilografar
dactilografar-se-á;datilografar
dactilografar-se;datilografar
dactilografar-se-ia;datilografar
dactilografar-se-iam;datilografar
dactilografar-se-ão;datilografar
dactilografar-te-á;datilografar
dactilografar-te;datilografar
dactilografar-te-ei;datilografar
dactilografar-te-ias;datilografar
dactilografar-te-ás;datilografar
dactilografar-vos;datilografar
dactilografar-vos-íeis;datilografar
dactilografar-vos-eis;datilografar
dactilografas;datilografar
dactilografasse;datilografar
dactilografassem;datilografar
dactilografasses;datilografar
dactilografaste;datilografar
dactilografastes;datilografar
dactilografava;datilografar
dactilografavam;datilografar
dactilografavas;datilografar
dactilografe;datilografar
dactilografei;datilografar
dactilografeis;datilografar
dactilografem;datilografar
dactilografemos;datilografar
dactilografes;datilografar
dactilografia;dactilografia
dactilografias;dactilografia
dactilografá-la;datilografar
dactilografá-las;datilografar
dactilografá-lo-íamos;datilografar
dactilografá-lo-á;datilografar
dactilografá-lo;datilografar
dactilografá-lo-ei;datilografar
dactilografá-lo-íeis;datilografar
dactilografá-lo-eis;datilografar
dactilografá-lo-emos;datilografar
dactilografá-lo-ia;datilografar
dactilografá-lo-iam;datilografar
dactilografá-lo-ias;datilografar
dactilografá-lo-ão;datilografar
dactilografá-lo-ás;datilografar
dactilografá-los;datilografar
dactilografámos;datilografar
dactilografo;datilografar
dactilografou;datilografar
dactilografáramos;datilografar
dactilografáreis;datilografar
dactilografásseis;datilografar
dactilografássemos;datilografar
dactilografávamos;datilografar
dactilografáveis;datilografar
dactilográfica;dactilografia
dactilográficas;dactilografia
dactilográfico;dactilografia
dactilográficos;dactilografia
decepcionada;dececionada
decepcionadas;dececionadas
decepciona;dececiona
decepcionado;dececionado
decepcionados;dececionados
decepcionai;dececionai
decepcionais;dececionais
decepcionam;dececionam
decepcionamos;dececionamos
decepcionando;dececionando
decepcionante;dececionante
decepcionantes;dececionantes
decepcionara;dececionara
decepcionaram;dececionaram
decepcionaríamos;dececionaríamos
decepcionaras;dececionaras
decepcionará;dececionará
decepcionar;dececionar
decepcionardes;dececionardes
decepcionarei;dececionarei
decepcionaríeis;dececionaríeis
decepcionareis;dececionareis
decepcionarem;dececionarem
decepcionaremos;dececionaremos
decepcionares;dececionares
decepcionaria;dececionaria
decepcionariam;dececionariam
decepcionarias;dececionarias
decepcionar-lha;dececionar-lha
decepcionar-lhas;dececionar-lhas
decepcionar-lhe;dececionar-lhe
decepcionar-lhes;dececionar-lhes
decepcionar-lho;dececionar-lho
decepcionar-lhos;dececionar-lhos
decepcionar-me;dececionar-me
decepcionar-me-ei;dececionar-me-ei
decepcionar-me-ia;dececionar-me-ia
decepcionarmos;dececionarmos
decepcionar-nos-íamos;dececionar-nos-íamos
decepcionar-nos;dececionar-nos
decepcionar-nos-emos;dececionar-nos-emos
decepcionarão;dececionarão
decepcionarás;dececionarás
decepcionar-se-á;dececionar-se-á
decepcionar-se;dececionar-se
decepcionar-se-ia;dececionar-se-ia
decepcionar-se-iam;dececionar-se-iam
decepcionar-se-ão;dececionar-se-ão
decepcionar-te-á;dececionar-te-á
decepcionar-te;dececionar-te
decepcionar-te-ei;dececionar-te-ei
decepcionar-te-ias;dececionar-te-ias
decepcionar-te-ás;dececionar-te-ás
decepcionar-vos;dececionar-vos
decepcionar-vos-íeis;dececionar-vos-íeis
decepcionar-vos-eis;dececionar-vos-eis
decepcionas;dececionas
decepcionasse;dececionasse
decepcionassem;dececionassem
decepcionasses;dececionasses
decepcionaste;dececionaste
decepcionastes;dececionastes
decepcionava;dececionava
decepcionavam;dececionavam
decepcionavas;dececionavas
decepcione;dececione
decepcionei;dececionei
decepcioneis;dececioneis
decepcionem;dececionem
decepcionemos;dececionemos
decepciones;dececiones
decepcioná-la;dececioná-la
decepcioná-las;dececioná-las
decepcioná-lo-íamos;dececioná-lo-íamos
decepcioná-lo-á;dececioná-lo-á
decepcioná-lo;dececioná-lo
decepcioná-lo-ei;dececioná-lo-ei
decepcioná-lo-íeis;dececioná-lo-íeis
decepcioná-lo-eis;dececioná-lo-eis
decepcioná-lo-emos;dececioná-lo-emos
decepcioná-lo-ia;dececioná-lo-ia
decepcioná-lo-iam;dececioná-lo-iam
decepcioná-lo-ias;dececioná-lo-ias
decepcioná-lo-ão;dececioná-lo-ão
decepcioná-lo-ás;dececioná-lo-ás
decepcioná-los;dececioná-los
decepcionámos;dececionámos
decepciono;dececiono
decepcionou;dececionou
decepcionáramos;dececionáramos
decepcionáreis;dececionáreis
decepcionásseis;dececionásseis
decepcionássemos;dececionássemos
decepcionávamos;dececionávamos
decepcionáveis;dececionáveis
decepções;deceções
decepção;deceção
deceptivo;decetivo
defecção;defeção
defectibilidade;defetibilidade
defectibilidades;defetibilidades
defectividade;defetividade
defectividades;defetividades
defectivo;defetivo
defectível;defetível
deflectíamos;deflectir
deflectíeis;deflectir
deflectia;deflectir
deflectiam;deflectir
deflectias;deflectir
deflectida;deflectir
deflectidas;deflectir
deflecti;deflectir
deflectido;deflectir
deflectidos;deflectir
deflecti-la;deflectir
deflecti-las;deflectir
deflecti-lo-íamos;deflectir
deflecti-lo-á;deflectir
deflecti-lo;deflectir
deflecti-lo-ei;deflectir
deflecti-lo-íeis;deflectir
deflecti-lo-eis;deflectir
deflecti-lo-emos;deflectir
deflecti-lo-ia;deflectir
deflecti-lo-iam;deflectir
deflecti-lo-ias;deflectir
deflecti-lo-ão;deflectir
deflecti-lo-ás;deflectir
deflecti-los;deflectir
deflectimos;deflectir
deflectindo;deflectir
deflectira;deflectir
deflectiram;deflectir
deflectiríamos;deflectir
deflectiras;deflectir
deflectirá;deflectir
deflectir;deflectir
deflectirdes;deflectir
deflectirei;deflectir
deflectiríeis;deflectir
deflectireis;deflectir
deflectirem;deflectir
deflectiremos;deflectir
deflectires;deflectir
deflectiria;deflectir
deflectiriam;deflectir
deflectirias;deflectir
deflectir-lha;deflectir
deflectir-lhas;deflectir
deflectir-lhe;deflectir
deflectir-lhes;deflectir
deflectir-lho;deflectir
deflectir-lhos;deflectir
deflectir-me;deflectir
deflectir-me-ei;deflectir
deflectir-me-ia;deflectir
deflectirmos;deflectir
deflectir-nos-íamos;deflectir
deflectir-nos;deflectir
deflectir-nos-emos;deflectir
deflectirão;deflectir
deflectirás;deflectir
deflectir-se-á;deflectir
deflectir-se;deflectir
deflectir-se-ia;deflectir
deflectir-se-iam;deflectir
deflectir-se-ão;deflectir
deflectir-te-á;deflectir
deflectir-te;deflectir
deflectir-te-ei;deflectir
deflectir-te-ias;deflectir
deflectir-te-ás;deflectir
deflectir-vos;deflectir
deflectir-vos-íeis;deflectir
deflectir-vos-eis;deflectir
deflectisse;deflectir
deflectissem;deflectir
deflectisses;deflectir
deflectiste;deflectir
deflectistes;deflectir
deflectiu;deflectir
deflector;defletor
deflectíramos;deflectir
deflectíreis;deflectir
deflectísseis;deflectir
deflectíssemos;deflectir
dejecções;dejeções
dejecção;dejeção
dejectada;dejetada
dejectadas;dejetadas
dejecta;dejeta
dejectado;dejetado
dejectados;dejetados
dejectai;dejetai
dejectais;dejetais
dejectam;dejetam
dejectamos;dejetamos
dejectando;dejetando
dejectara;dejetara
dejectaram;dejetaram
dejectaríamos;dejetaríamos
dejectaras;dejetaras
dejectará;dejetará
dejectar;dejetar
dejectardes;dejetardes
dejectarei;dejetarei
dejectaríeis;dejetaríeis
dejectareis;dejetareis
dejectarem;dejetarem
dejectaremos;dejetaremos
dejectares;dejetares
dejectaria;dejetaria
dejectariam;dejetariam
dejectarias;dejetarias
dejectar-lha;dejetar-lha
dejectar-lhas;dejetar-lhas
dejectar-lhe;dejetar-lhe
dejectar-lhes;dejetar-lhes
dejectar-lho;dejetar-lho
dejectar-lhos;dejetar-lhos
dejectar-me;dejetar-me
dejectar-me-ei;dejetar-me-ei
dejectar-me-ia;dejetar-me-ia
dejectarmos;dejetarmos
dejectar-nos-íamos;dejetar-nos-íamos
dejectar-nos;dejetar-nos
dejectar-nos-emos;dejetar-nos-emos
dejectarão;dejetarão
dejectarás;dejetarás
dejectar-se-á;dejetar-se-á
dejectar-se;dejetar-se
dejectar-se-ia;dejetar-se-ia
dejectar-se-iam;dejetar-se-iam
dejectar-se-ão;dejetar-se-ão
dejectar-te-á;dejetar-te-á
dejectar-te;dejetar-te
dejectar-te-ei;dejetar-te-ei
dejectar-te-ias;dejetar-te-ias
dejectar-te-ás;dejetar-te-ás
dejectar-vos;dejetar-vos
dejectar-vos-íeis;dejetar-vos-íeis
dejectar-vos-eis;dejetar-vos-eis
dejectas;dejetas
dejectasse;dejetasse
dejectassem;dejetassem
dejectasses;dejetasses
dejectaste;dejetaste
dejectastes;dejetastes
dejectava;dejetava
dejectavam;dejetavam
dejectavas;dejetavas
dejecte;dejete
dejectei;dejetei
dejecteis;dejeteis
dejectem;dejetem
dejectemos;dejetemos
dejectes;dejetes
dejectá-la;dejetá-la
dejectá-las;dejetá-las
dejectá-lo-íamos;dejetá-lo-íamos
dejectá-lo-á;dejetá-lo-á
dejectá-lo;dejetá-lo
dejectá-lo-ei;dejetá-lo-ei
dejectá-lo-íeis;dejetá-lo-íeis
dejectá-lo-eis;dejetá-lo-eis
dejectá-lo-emos;dejetá-lo-emos
dejectá-lo-ia;dejetá-lo-ia
dejectá-lo-iam;dejetá-lo-iam
dejectá-lo-ias;dejetá-lo-ias
dejectá-lo-ão;dejetá-lo-ão
dejectá-lo-ás;dejetá-lo-ás
dejectá-los;dejetá-los
dejectámos;dejetámos
dejecto;dejeto
dejectos;dejetos
dejectou;dejetou
dejectáramos;dejetáramos
dejectáreis;dejetáreis
dejectório;dejetório
dejectásseis;dejetásseis
dejectássemos;dejetássemos
dejectávamos;dejetávamos
dejectáveis;dejetáveis
delinquente;delinquente
delinquentes;delinquentes
delinquência;delinquência
delinquências;delinquências
desactivada;desativada
desactivadas;desativadas
desactiva;desativa
desactivado;desativado
desactivadora;desativadora
desactivadoras;desativadoras
desactivador;desativador
desactivadores;desativadores
desactivados;desativados
desactivações;desativações
desactivai;desativai
desactivais;desativais
desactivam;desativam
desactivamos;desativamos
desactivando;desativando
desactivante;desativante
desactivantes;desativantes
desactivação;desativação
desactivara;desativara
desactivaram;desativaram
desactivaríamos;desativaríamos
desactivaras;desativaras
desactivará;desativará
desactivar;desativar
desactivardes;desativardes
desactivarei;desativarei
desactivaríeis;desativaríeis
desactivareis;desativareis
desactivarem;desativarem
desactivaremos;desativaremos
desactivares;desativares
desactivaria;desativaria
desactivariam;desativariam
desactivarias;desativarias
desactivarmos;desativarmos
desactivarão;desativarão
desactivarás;desativarás
desactivas;desativas
desactivasse;desativasse
desactivassem;desativassem
desactivasses;desativasses
desactivaste;desativaste
desactivastes;desativastes
desactivava;desativava
desactivavam;desativavam
desactivavas;desativavas
desactive;desative
desactivei;desativei
desactiveis;desativeis
desactivem;desativem
desactivemos;desativemos
desactives;desatives
desactivámos;desativámos
desactivo;desativo
desactivou;desativou
desactiváramos;desativáramos
desactiváreis;desativáreis
desactivásseis;desativásseis
desactivássemos;desativássemos
desactivávamos;desativávamos
desactiváveis;desativáveis
desactualizada;desatualizada
desactualizadas;desatualizadas
desactualizado;desatualizado
desactualizados;desatualizados
desactualizadíssima;desatualizadíssima
desactualizadíssimas;desatualizadíssimas
desactualizadíssimo;desatualizadíssimo
desactualizadíssimos;desatualizadíssimos
desafectada;desafetada
desafectadamente;desafetadamente
desafectadas;desafetadas
desafecta;desafeta
desafectado;desafetado
desafectados;desafetados
desafectações;desafetações
desafectai;desafetai
desafectais;desafetais
desafectam;desafetam
desafectamos;desafetamos
desafectando;desafetando
desafectante;desafetante
desafectantes;desafetantes
desafectação;desafetação
desafectara;desafetara
desafectaram;desafetaram
desafectaríamos;desafetaríamos
desafectaras;desafetaras
desafectará;desafetará
desafectar;desafetar
desafectardes;desafetardes
desafectarei;desafetarei
desafectaríeis;desafetaríeis
desafectareis;desafetareis
desafectarem;desafetarem
desafectaremos;desafetaremos
